N,ID Test,Model,Dataset,Batch Size,Mean reward,Standard deviation,Reward min,Reward max,Steps
1,251124_101126_mxwEM,CNN,Minari,32,380.50,116.11,150,655,592
2,251124_101445_irS1z,CNN,Minari,64,372.33,137.08,120,670,643
3,251124_101730_9BHF0,CNN,Minari,128,366.50,103.68,175,540,610
4,251124_102851_TEmFm,CNN,Minari,256,340.83,171.03,105,725,641
5,251124_142723_CmH2A,CNN,Expert,32,190.00,109.32,60,515,563
6,251125_101914_561ZI,CNN,Expert,64,272.83,182.08,15,895,708
7,251125_104921_WmKIj,CNN,Expert,128,179.67,59.50,90,335,653
8,251125_110320_FEdgh,CNN,Expert,256,136.33,81.91,15,410,662
9,251122_172328_AHdnw,CNN,Minari + Expert,32,248.33,120.99,55,590,703
10,251124_170959_GGDH6,CNN,Minari + Expert,64,166.67,95.61,50,395,609
11,251124_172139_tADD6,CNN,Minari + Expert,128,133.00,78.64,45,375,688
12,251122_192540_ZBJAz,CNN,Minari + Expert,256,203.50,87.03,80,480,585
13,251124_113013_LzqYM,MLP,Minari,32,395.50,178.17,160,875,657
14,251124_114916_dn6gJ,MLP,Minari,64,403.00,144.13,215,945,645
15,251126_094435_7GpfB,MLP,Minari,128,398.50,91.78,235,640,632
16,251124_150208_c5Yci,MLP,Minari,256,396.83,171.58,115,800,636
17,251124_153519_N6ImC,MLP,Expert,32,212.17,102.79,105,545,522
18,251124_210517_hmaFt,MLP,Expert,64,341.83,148.25,135,665,745
19,251125_000440_qLNJO,MLP,Expert,128,304.00,119.84,200,630,756
20,251125_000738_2zlqd,MLP,Expert,256,356.17,168.23,100,765,827
21,251124_085104_euLvk,MLP,Minari + Expert,32,140.00,108.10,35,620,435
22,251128_104156_PoJXi,MLP,Minari + Expert,64,264.50,171.98,20,605,621
23,251124_145842_LOO7S,MLP,Minari + Expert,128,237.00,95.12,80,480,654
24,251124_151510_IX5k1,MLP,Minari + Expert,256,361.33,174.15,135,820,770
25,251125_100703_QQdVF,VIT,Minari,32,361.00,133.83,165,685,617
26,251125_101754_tDUxk,VIT,Minari,64,419.00,147.09,125,740,687
27,251125_102959_OSQdc,VIT,Minari,128,423.50,136.69,215,915,673
28,251125_091308_rZs9k,VIT,Minari,256,410.50,134.07,190,805,701
29,251124_090933_2aERB,VIT,Expert,32,190.50,94.17,55,530,608
30,251124_095046_DSwzm,VIT,Expert,64,159.67,110.61,10,415,535
31,251125_104832_3mt3e,VIT,Expert,128,170.33,143.00,5,675,599
32,251125_094000_DuFYg,VIT,Expert,256,97.00,79.97,10,335,449
33,251122_193903_STgW2,VIT,Minari + Expert,32,227.83,81.87,105,420,614
34,251124_153324_o1kMb,VIT,Minari + Expert,64,214.50,129.09,80,555,610
35,251124_161532_b9P5Z,VIT,Minari + Expert,128,197.00,131.25,15,540,571
36,251122_212043_MyQke,VIT,Minari + Expert,256,134.67,101.71,5,420,540
